has_title,has_input,has_button,has_image,has_submit,has_link,has_password,has_email_input,has_hidden_element,has_audio,has_video,number_of_inputs,number_of_buttons,number_of_images,number_of_option,number_of_list,number_of_th,number_of_tr,number_of_href,number_of_paragraph,number_of_script,length_of_title,has_h1,has_h2,has_h3,length_of_text,number_of_clickable_button,number_of_a,number_of_img,number_of_div,number_of_figure,has_footer,has_form,has_text_area,has_iframe,has_text_input,number_of_meta,has_nav,has_object,has_picture,number_of_sources,number_of_span,number_of_table,URL,label
1,1,0,0,1,0,0,0,1,0,0,10,0,0,0,0,0,1,0,1,6,6,0,0,0,266,0,27,1,12,0,0,1,0,0,0,2,0,0,0,0,8,1,https://google.com,0
1,1,1,0,0,1,0,0,0,0,0,1,15,0,0,118,0,0,4,5,6,93,0,1,0,15554,12,113,2,36,0,1,1,0,0,0,5,1,0,0,0,13,0,https://microsoft.com,0
1,1,1,0,0,1,1,0,1,0,0,7,1,0,0,40,0,0,15,0,18,38,0,1,0,622,0,43,2,32,0,0,1,0,0,1,9,0,0,0,0,2,0,https://facebook.com,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,https://mail.ru,0
1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,17,0,42,7,0,0,0,140,0,14,0,291,0,0,0,0,1,1,7,0,0,0,0,1,0,https://youtube.com,0
1,0,1,0,0,1,0,0,0,0,0,0,19,1,0,214,0,0,27,140,31,51,1,1,1,14834,10,283,78,853,0,1,0,0,0,0,15,1,0,1,70,251,0,https://cloudflare.com,0
1,1,1,0,0,1,0,0,1,0,1,5,19,0,0,96,0,0,145,21,16,5,1,1,1,7351,1,119,0,156,13,1,1,0,0,0,16,1,0,0,0,100,0,https://apple.com,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://dzen.ru,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,96,0,77,9,0,0,0,83,0,0,2,3,0,0,0,0,0,0,22,0,0,0,0,1,0,https://instagram.com,0
0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,46,3,33,0,1,0,0,510,0,6,1,10,0,0,1,0,0,0,15,0,0,0,0,3,0,https://twitter.com,0
1,0,1,0,0,1,0,0,0,0,0,0,26,0,0,187,0,0,19,11,14,72,1,1,1,11661,26,188,16,124,0,1,0,0,0,0,9,1,0,1,5,32,0,https://office.com,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,4,7,0,0,0,120,0,0,1,31,0,0,0,0,0,0,27,0,0,0,0,0,0,https://live.com,0
1,1,1,0,0,1,0,0,1,0,0,4,42,0,0,184,0,0,76,11,6,27,1,1,1,14361,0,158,7,57,0,1,1,0,1,0,24,1,0,0,0,89,0,https://linkedin.com,0
1,1,1,0,0,1,0,0,0,0,0,2,96,0,0,314,0,0,24,2,67,42,1,1,1,22821,48,369,115,1939,0,1,1,0,0,0,34,1,0,1,124,328,0,https://azure.com,0
1,1,0,0,1,0,0,0,1,0,0,10,0,0,0,0,0,1,0,1,6,6,0,0,0,266,0,27,1,12,0,0,1,0,0,0,2,0,0,0,0,8,1,https://googlevideo.com,0
1,1,1,0,0,1,1,0,1,0,0,7,1,0,0,40,0,0,15,0,18,38,0,1,0,622,0,43,2,32,0,0,1,0,0,1,9,0,0,0,0,2,0,https://fbcdn.net,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,37,0,0,14,10,9,19,1,1,1,3754,0,42,28,95,1,1,0,0,0,0,12,1,0,0,0,13,0,https://workers.dev,0
1,0,1,0,0,1,0,0,0,0,0,0,16,0,11,100,0,0,8,38,10,72,1,1,1,9133,16,85,12,161,0,1,0,0,1,0,16,1,0,1,10,19,0,https://doubleclick.net,0
1,1,1,0,0,1,0,1,1,0,1,13,47,0,0,111,0,0,37,27,61,77,1,1,1,10414,23,138,24,374,1,1,1,1,0,1,50,1,0,0,0,161,0,https://github.com,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39,0,47,23,0,0,0,36,0,4,1,5,0,0,0,0,0,0,13,0,0,0,0,7,0,https://bing.com,0
1,0,1,0,0,1,0,0,0,0,0,0,4,0,240,22,0,0,76,16,18,65,1,1,1,4195,0,81,28,238,0,1,0,0,0,0,17,1,0,1,77,195,0,https://whatsapp.net,0
1,0,1,0,0,1,0,0,0,0,0,0,29,1,0,85,0,0,31,22,16,42,1,1,1,6769,15,74,14,335,0,0,0,0,1,0,21,1,0,0,0,24,0,https://fastly.net,0
1,1,1,0,0,1,0,1,0,0,0,2,19,0,4,31,0,0,5,9,9,58,1,1,1,3455,7,19,1,153,0,1,0,0,0,0,21,0,0,0,0,64,0,https://netflix.com,0
1,1,1,0,0,1,0,0,0,0,0,1,15,0,0,118,0,0,4,5,6,93,0,1,0,15554,12,113,2,36,0,1,1,0,0,0,5,1,0,0,0,13,0,https://sharepoint.com,0
1,1,1,0,0,1,0,0,0,0,0,1,9,0,0,60,0,0,182,19,15,55,1,1,0,3892,0,76,15,69,18,1,1,0,1,0,17,1,0,0,0,55,0,https://wordpress.org,0
1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,17,0,42,7,0,0,0,140,0,14,0,291,0,0,0,0,1,1,7,0,0,0,0,1,0,https://youtu.be,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,8,6,0,0,0,75,0,0,0,8,0,0,0,0,0,0,12,0,0,0,0,1,0,https://icloud.com,0
1,1,1,0,0,1,0,0,0,0,1,1,3,0,0,170,0,0,20,45,42,66,1,1,1,14016,0,283,48,596,0,0,1,0,1,1,24,0,0,1,1,15,0,https://digicert.com,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,87,0,46,9,0,0,0,69,0,1,0,5,0,0,0,0,0,0,35,0,0,0,0,0,0,https://pinterest.com,0
1,1,1,0,0,1,0,0,0,0,0,1,15,0,0,118,0,0,4,5,6,93,0,1,0,15554,12,113,2,36,0,1,1,0,0,0,5,1,0,0,0,13,0,https://windows.net,0
1,1,0,0,1,0,0,0,1,0,0,10,0,0,0,0,0,1,0,1,6,6,0,0,0,266,0,27,1,12,0,0,1,0,0,0,2,0,0,0,0,8,1,https://googlesyndication.com,0
1,1,1,0,0,1,0,0,0,0,1,2,12,0,0,0,0,0,2,21,8,52,1,1,0,1188,11,8,36,49,0,1,1,0,0,0,17,0,0,0,1,18,0,https://skype.com,0
1,0,1,0,0,1,0,0,0,0,0,0,4,0,240,22,0,0,76,16,18,65,1,1,1,4195,0,81,28,238,0,1,0,0,0,0,17,1,0,1,77,195,0,https://whatsapp.com,0
1,0,1,0,0,1,0,0,0,0,0,0,7,0,0,2,0,0,11,8,5,63,0,0,0,1449,4,17,6,15,0,0,0,0,0,0,15,1,0,0,0,0,0,https://ntp.org,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,44,0,116,6,0,0,0,242,0,0,0,8,0,1,0,0,0,0,47,0,0,0,0,0,0,https://roblox.com,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,10,3,0,0,0,27,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,https://msn.com,0
1,1,1,0,0,1,0,0,0,0,0,1,10,0,7,137,0,0,12,13,9,175,1,1,0,12588,2,142,8,110,0,0,1,0,1,1,8,1,0,1,0,93,0,https://goo.gl,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://adobe.com,0
1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,41,0,9,40,0,1,0,1847,0,94,86,460,0,0,0,0,0,0,24,0,0,0,0,90,0,https://spotify.com,0
1,0,1,0,0,1,0,0,0,0,1,0,41,0,0,93,0,0,40,42,93,31,1,1,1,7569,35,204,43,497,1,1,0,0,0,0,38,1,0,1,29,274,0,https://vimeo.com,0
0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,46,3,33,0,1,0,0,510,0,6,1,10,0,0,1,0,0,0,15,0,0,0,0,3,0,https://x.com,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://tiktok.com,0
1,1,1,0,0,1,0,0,0,0,0,1,15,0,0,118,0,0,4,5,6,93,0,1,0,15554,12,113,2,36,0,1,1,0,0,0,5,1,0,0,0,13,0,https://office365.com,0
1,1,1,0,0,1,0,0,1,0,0,19,5,0,0,89,0,0,5,63,22,59,1,1,1,11245,4,196,82,360,6,1,1,0,0,0,22,1,0,1,3,37,0,https://bit.ly,0
1,1,1,0,0,1,0,1,0,0,0,2,10,0,0,102,0,0,32,70,7,77,1,1,1,15191,5,148,8,220,0,1,1,0,0,1,23,1,0,0,0,26,0,https://gandi.net,0
1,1,1,0,0,1,0,0,1,0,0,9,29,0,0,325,0,0,25,44,12,30,1,1,1,59575,0,370,73,618,0,1,0,0,0,0,27,1,0,0,0,473,0,https://zoom.us,0
1,1,1,0,0,1,0,0,1,0,0,2,6,0,23,105,0,0,40,15,25,56,1,1,1,6861,0,156,27,327,0,1,1,0,0,0,27,1,0,1,32,74,0,https://wordpress.com,0
1,1,1,0,0,1,0,0,1,0,0,103,60,0,2,79,0,0,18,55,24,55,1,1,0,11498,5,258,219,494,1,1,1,0,1,1,31,1,0,1,3,167,0,https://samsung.com,0
1,0,1,0,0,1,0,0,0,0,0,0,13,0,11,87,0,0,8,24,10,64,1,1,1,6953,13,71,10,127,0,1,0,0,1,0,16,1,0,1,10,19,0,https://google-analytics.com,0
1,0,1,0,0,1,0,0,0,0,0,0,5,0,0,122,0,0,84,7,9,48,1,1,0,3045,5,130,9,31,0,1,0,0,0,0,20,1,0,0,0,14,0,https://mozilla.org,0
1,1,0,0,0,1,0,0,1,0,0,7,0,0,18,47,0,0,61,8,6,50,1,1,1,7305,0,80,34,172,0,1,1,0,1,0,17,0,0,1,13,76,0,https://opera.com,0
1,0,1,0,0,1,0,0,0,0,0,0,6,0,0,41,0,0,4,18,2,67,1,1,0,6105,6,42,0,50,0,0,0,0,0,0,13,1,0,0,0,29,0,https://cloudflare-dns.com,0
1,1,1,0,0,1,0,0,0,0,0,1,15,0,0,118,0,0,4,5,6,93,0,1,0,15554,12,113,2,36,0,1,1,0,0,0,5,1,0,0,0,13,0,https://windows.com,0
1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,19,0,12,1,7,0,5,1,1,0,1696,0,52,6,8,0,0,0,0,0,0,2,1,0,0,0,1,5,https://nginx.org,0
1,1,1,0,1,1,0,0,1,0,0,6,1,0,0,0,0,0,6,0,6,12,1,0,0,466,1,5,2,17,0,0,1,0,0,0,6,0,0,0,0,10,0,https://yandex.net,0
1,0,1,0,0,1,0,0,0,0,0,0,4,0,240,22,0,0,10,9,18,13,1,1,1,2932,0,77,4,76,0,1,0,0,0,0,17,1,0,0,0,138,0,https://wa.me,0
